titre,score,genre,année,durée,description,acteurs,pays
Prisoners,8.2,Crime,2013,2h 33m,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","Hugh Jackman,Jake Gyllenhaal,Viola Davis",United States
Shutter Island,8.2,Drama,2010,2h 18m,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.","Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo",United States
There Will Be Blood,8.2,Drama,2007,2h 38m,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.","Daniel Day-Lewis,Paul Dano,Ciarán Hinds",United States
Casino,8.2,Crime,1995,2h 58m,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.","Robert De Niro,Sharon Stone,Joe Pesci",United States
All About Eve,8.2,Drama,1950,2h 18m,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,"Bette Davis,Anne Baxter,George Sanders",United States
The Truman Show,8.2,Comedy,1998,1h 43m,An insurance salesman discovers his whole life is actually a reality TV show.,"Jim Carrey,Ed Harris,Laura Linney",United States
Top Gun: Maverick,8.2,Action,2022,2h 10m,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.","Tom Cruise,Jennifer Connelly,Miles Teller",United States
The Father,8.2,Drama,2020,1h 37m,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.","Anthony Hopkins,Olivia Colman,Mark Gatiss",United Kingdom
The Kid,8.2,Comedy,1921,1h 8m,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.","Charles Chaplin,Edna Purviance,Jackie Coogan",United States
Batman Begins,8.2,Action,2005,2h 20m,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.","Christian Bale,Michael Caine,Ken Watanabe",United States
For a Few Dollars More,8.2,Drama,1965,2h 12m,"Two bounty hunters with the same intentions team up to track down a gang of outlaws led by a psychotic Mexican bandit, who is plotting an audacious bank robbery.","Clint Eastwood,Lee Van Cleef,Gian Maria Volontè",Italy
Some Like It Hot,8.2,Comedy,1959,2h 1m,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","Marilyn Monroe,Tony Curtis,Jack Lemmon",United States
The Wolf of Wall Street,8.2,Biography,2013,3h,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Leonardo DiCaprio,Jonah Hill,Margot Robbie",United States
Green Book,8.2,Biography,2018,2h 10m,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,"Viggo Mortensen,Mahershala Ali,Linda Cardellini",United States
Judgment at Nuremberg,8.3,Drama,1961,2h 59m,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.","Spencer Tracy,Burt Lancaster,Richard Widmark",United States
Downfall,8.2,Biography,2004,2h 36m,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes",Germany
Taxi Driver,8.2,Crime,1976,1h 54m,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","Robert De Niro,Jodie Foster,Cybill Shepherd",United States
L.A. Confidential,8.2,Crime,1997,2h 18m,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.","Kevin Spacey,Russell Crowe,Guy Pearce",United States
Snatch,8.2,Comedy,2000,1h 42m,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","Jason Statham,Brad Pitt,Stephen Graham",United Kingdom
1917,8.2,Action,2019,1h 59m,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","Dean-Charles Chapman,George MacKay,Daniel Mays",United Kingdom
Dangal,8.3,Action,2016,2h 41m,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh",India
Hamilton,8.3,Biography,2020,2h 40m,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.","Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.",United States
Metropolis,8.3,Drama,1927,2h 33m,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.","Brigitte Helm,Alfred Abel,Gustav Fröhlich",Germany
Like Stars on Earth,8.3,Drama,2007,2h 42m,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Darsheel Safary,Aamir Khan,Tisca Chopra",India
Indiana Jones and the Last Crusade,8.2,Action,1989,2h 7m,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.","Harrison Ford,Sean Connery,Alison Doody",United States
Bicycle Thieves,8.3,Drama,1948,1h 29m,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.","Lamberto Maggiorani,Enzo Staiola,Lianella Carell",Italy
A Separation,8.3,Drama,2011,2h 3m,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,"Payman Maadi,Leila Hatami,Sareh Bayat",Iran
Die Hard,8.2,Action,1988,2h 12m,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,"Bruce Willis,Alan Rickman,Bonnie Bedelia",United States
To Kill a Mockingbird,8.3,Crime,1962,2h 9m,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.","Gregory Peck,John Megna,Frank Overton",United States
Heat,8.3,Action,1995,2h 50m,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,"Al Pacino,Robert De Niro,Val Kilmer",United States
Full Metal Jacket,8.3,Drama,1987,1h 56m,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"Matthew Modine,R. Lee Ermey,Vincent D'Onofrio",United Kingdom
Up,8.3,Animation,2009,1h 36m,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","Edward Asner,Jordan Nagai,John Ratzenberger",United States
Amélie,8.3,Comedy,2001,2h 2m,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.","Audrey Tautou,Mathieu Kassovitz,Rufus",France
The Sting,8.3,Comedy,1973,2h 9m,Two grifters team up to pull off the ultimate con.,"Paul Newman,Robert Redford,Robert Shaw",United States
Incendies,8.3,Drama,2010,2h 11m,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,"Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette",Canada
A Clockwork Orange,8.3,Crime,1971,2h 16m,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","Malcolm McDowell,Patrick Magee,Michael Bates",United Kingdom
M,8.3,Crime,1931,1h 39m,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","Peter Lorre,Ellen Widmann,Inge Landgut",Germany
Scarface,8.3,Crime,1983,2h 50m,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","Al Pacino,Michelle Pfeiffer,Steven Bauer",United States
Double Indemnity,8.3,Crime,1944,1h 47m,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.","Fred MacMurray,Barbara Stanwyck,Edward G. Robinson",United States
Citizen Kane,8.3,Drama,1941,1h 59m,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'","Orson Welles,Joseph Cotten,Dorothy Comingore",United States
The Apartment,8.3,Comedy,1960,2h 5m,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.","Jack Lemmon,Shirley MacLaine,Fred MacMurray",United States
Vertigo,8.3,Mystery,1958,2h 8m,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.","James Stewart,Kim Novak,Barbara Bel Geddes",United States
2001: A Space Odyssey,8.3,Adventure,1968,2h 29m,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.","Keir Dullea,Gary Lockwood,William Sylvester",United Kingdom
North by Northwest,8.3,Action,1959,2h 16m,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.","Cary Grant,Eva Marie Saint,James Mason",United States
Reservoir Dogs,8.3,Crime,1992,1h 39m,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","Harvey Keitel,Tim Roth,Michael Madsen",United States
Lawrence of Arabia,8.3,Adventure,1962,3h 38m,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","Peter O'Toole,Alec Guinness,Anthony Quinn",United Kingdom
Ikiru,8.3,Drama,1952,2h 23m,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,"Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori",Japan
The Hunt,8.3,Drama,2012,1h 55m,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.","Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp",Denmark
Toy Story 3,8.3,Animation,2010,1h 43m,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","Tom Hanks,Tim Allen,Joan Cusack",United States
Requiem for a Dream,8.3,Drama,2000,1h 42m,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,"Ellen Burstyn,Jared Leto,Jennifer Connelly",United States
Eternal Sunshine of the Spotless Mind,8.3,Drama,2004,1h 48m,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.","Jim Carrey,Kate Winslet,Tom Wilkinson",United States
Come and See,8.4,Drama,1985,2h 22m,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius",Soviet Union
Star Wars: Episode VI - Return of the Jedi,8.3,Action,1983,2h 11m,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.","Mark Hamill,Harrison Ford,Carrie Fisher",United States
Capernaum,8.4,Drama,2018,2h 6m,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.","Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole",Lebanon
Oppenheimer,8.3,Biography,2023,3h,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,"Cillian Murphy,Emily Blunt,Matt Damon",United States
Singin' in the Rain,8.3,Comedy,1952,1h 43m,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"Gene Kelly,Donald O'Connor,Debbie Reynolds",United States
3 Idiots,8.4,Comedy,2009,2h 50m,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","Aamir Khan,Madhavan,Mona Singh",India
High and Low,8.4,Crime,1963,2h 23m,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,"Toshirô Mifune,Yutaka Sada,Tatsuya Nakadai",Japan
Your Name.,8.4,Animation,2016,1h 46m,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.","Ryunosuke Kamiki,Mone Kamishiraishi,Ryo Narita",Japan
Once Upon a Time in America,8.3,Crime,1984,3h 49m,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.","Robert De Niro,James Woods,Elizabeth McGovern",United States
Princess Mononoke,8.3,Animation,1997,2h 14m,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","Yôji Matsuda,Yuriko Ishida,Yûko Tanaka",Japan
Avengers: Endgame,8.4,Action,2019,3h 1m,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Robert Downey Jr.,Chris Evans,Mark Ruffalo",United States
The Boat,8.4,Drama,1981,,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann",West Germany
Joker,8.4,Crime,2019,2h 2m,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.","Joaquin Phoenix,Robert De Niro,Zazie Beetz",United States
Amadeus,8.4,Biography,1984,2h 40m,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.","F. Murray Abraham,Tom Hulce,Elizabeth Berridge",United States
Coco,8.4,Animation,2017,1h 45m,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Anthony Gonzalez,Gael García Bernal,Benjamin Bratt",United States
Toy Story,8.3,Animation,1995,1h 21m,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,"Tom Hanks,Tim Allen,Don Rickles",United States
Good Will Hunting,8.3,Drama,1997,2h 6m,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.","Robin Williams,Matt Damon,Ben Affleck",United States
Oldboy,8.3,Action,2003,2h,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.","Choi Min-sik,Yoo Ji-tae,Kang Hye-jeong",South Korea
Braveheart,8.3,Biography,1995,2h 58m,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"Mel Gibson,Sophie Marceau,Patrick McGoohan",United States
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,Comedy,1964,1h 35m,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.","Peter Sellers,George C. Scott,Sterling Hayden",United Kingdom
American Beauty,8.3,Drama,1999,2h 2m,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,"Kevin Spacey,Annette Bening,Thora Birch",United States
The Dark Knight Rises,8.4,Action,2012,2h 44m,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.","Christian Bale,Tom Hardy,Anne Hathaway",United States
Aliens,8.4,Action,1986,2h 17m,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.","Sigourney Weaver,Michael Biehn,Carrie Henn",United Kingdom
The Great Dictator,8.4,Comedy,1940,2h 5m,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"Charles Chaplin,Paulette Goddard,Jack Oakie",United States
Inglourious Basterds,8.4,Adventure,2009,2h 33m,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","Brad Pitt,Diane Kruger,Eli Roth",Germany
The Shining,8.4,Drama,1980,2h 26m,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","Jack Nicholson,Shelley Duvall,Danny Lloyd",United Kingdom
Paths of Glory,8.4,Drama,1957,1h 28m,"After a failed attack on a German position, a general orders three soldiers, chosen at random, court-martialed for cowardice and their commanding officer must defend them.","Kirk Douglas,Ralph Meeker,Adolphe Menjou",United States
Avengers: Infinity War,8.4,Action,2018,2h 29m,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo",United States
Witness for the Prosecution,8.4,Crime,1957,1h 56m,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"Tyrone Power,Marlene Dietrich,Charles Laughton",United States
Sunset Blvd.,8.4,Drama,1950,1h 50m,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"William Holden,Gloria Swanson,Erich von Stroheim",United States
Spider-Man: Into the Spider-Verse,8.4,Animation,2018,1h 57m,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,"Shameik Moore,Jake Johnson,Hailee Steinfeld",Canada
Raiders of the Lost Ark,8.4,Action,1981,1h 55m,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.","Harrison Ford,Karen Allen,Paul Freeman",United States
The Lives of Others,8.4,Drama,2006,2h 17m,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","Ulrich Mühe,Martina Gedeck,Sebastian Koch",Germany
12th Fail,9.0,Biography,2023,,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,"Vikrant Massey,Medha Shankr,Anant Joshi",India
Memento,8.4,Mystery,2000,1h 53m,A man with short-term memory loss attempts to track down his wife's murderer.,"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano",United States
WALL·E,8.4,Animation,2008,1h 38m,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","Ben Burtt,Elissa Knight,Jeff Garlin",United States
Django Unchained,8.5,Drama,2012,2h 45m,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.","Jamie Foxx,Christoph Waltz,Leonardo DiCaprio",United States
Alien,8.5,Horror,1979,1h 57m,The crew of a commercial spacecraft encounters a deadly lifeform after investigating a mysterious transmission of unknown origin.,"Sigourney Weaver,Tom Skerritt,John Hurt",United Kingdom
Apocalypse Now,8.4,Drama,1979,2h 27m,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Martin Sheen,Marlon Brando,Robert Duvall",United States
Once Upon a Time in the West,8.5,Western,1968,2h 46m,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,"Henry Fonda,Charles Bronson,Claudia Cardinale",Italy
City Lights,8.5,Comedy,1931,1h 27m,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","Charles Chaplin,Virginia Cherrill,Florence Lee",United States
Modern Times,8.5,Comedy,1936,1h 27m,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"Charles Chaplin,Paulette Goddard,Henry Bergman",United States
The Intouchables,8.5,Comedy,2011,1h 52m,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","François Cluzet,Omar Sy,Anne Le Ny",France
Cinema Paradiso,8.5,Drama,1988,2h 54m,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,"Philippe Noiret,Enzo Cannavale,Antonella Attili",Italy
Rear Window,8.5,Mystery,1954,1h 52m,"A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.","James Stewart,Grace Kelly,Wendell Corey",United States
The Usual Suspects,8.5,Crime,1995,1h 46m,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,"Kevin Spacey,Gabriel Byrne,Chazz Palminteri",United States
Grave of the Fireflies,8.5,Animation,1988,1h 29m,A young boy and his little sister struggle to survive in Japan during World War II.,"Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi",Japan
The Prestige,8.5,Drama,2006,2h 10m,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","Christian Bale,Hugh Jackman,Scarlett Johansson",United Kingdom
Casablanca,8.5,Drama,1942,1h 42m,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,"Humphrey Bogart,Ingrid Bergman,Paul Henreid",United States
American History X,8.5,Crime,1998,1h 59m,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.","Edward Norton,Edward Furlong,Beverly D'Angelo",United States
Whiplash,8.5,Drama,2014,1h 46m,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"Miles Teller,J.K. Simmons,Melissa Benoist",United States
The Departed,8.5,Crime,2006,2h 31m,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"Leonardo DiCaprio,Matt Damon,Jack Nicholson",United States
Léon: The Professional,8.5,Action,1994,1h 50m,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","Jean Reno,Gary Oldman,Natalie Portman",France
The Lion King,8.5,Animation,1994,1h 28m,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Matthew Broderick,Jeremy Irons,James Earl Jones",United States
Psycho,8.5,Horror,1960,1h 49m,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.","Anthony Perkins,Janet Leigh,Vera Miles",United States
Spider-Man: Across the Spider-Verse,8.6,Animation,2023,2h 20m,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","Shameik Moore,Hailee Steinfeld,Brian Tyree Henry",United States
Parasite,8.5,Drama,2019,2h 12m,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,"Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong",South Korea
Gladiator,8.5,Action,2000,2h 35m,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Russell Crowe,Joaquin Phoenix,Connie Nielsen",United States
The Pianist,8.5,Biography,2002,2h 30m,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.","Adrien Brody,Thomas Kretschmann,Frank Finlay",France
Harakiri,8.6,Action,1962,2h 13m,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.","Tatsuya Nakadai,Akira Ishihama,Shima Iwashita",Japan
Star Wars: Episode IV - A New Hope,8.6,Action,1977,2h 1m,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","Mark Hamill,Harrison Ford,Carrie Fisher",United States
Back to the Future,8.5,Adventure,1985,1h 56m,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","Michael J. Fox,Christopher Lloyd,Lea Thompson",United States
Spirited Away,8.6,Animation,2001,2h 5m,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.","Daveigh Chase,Suzanne Pleshette,Miyu Irino",Japan
Terminator 2: Judgment Day,8.6,Action,1991,2h 17m,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.","Arnold Schwarzenegger,Linda Hamilton,Edward Furlong",United States
City of God,8.6,Crime,2002,2h 10m,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele",Brazil
The Green Mile,8.6,Crime,1999,3h 9m,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution.","Tom Hanks,Michael Clarke Duncan,David Morse",United States
Life Is Beautiful,8.6,Comedy,1997,1h 56m,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini",Italy
"The Good, the Bad and the Ugly",8.8,Adventure,1966,2h 58m,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Clint Eastwood,Eli Wallach,Lee Van Cleef",Italy
The Lord of the Rings: The Fellowship of the Ring,8.9,Action,2001,2h 58m,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Elijah Wood,Ian McKellen,Orlando Bloom",New Zealand
The Lord of the Rings: The Return of the King,9.0,Action,2003,3h 21m,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Elijah Wood,Viggo Mortensen,Ian McKellen",New Zealand
Pulp Fiction,8.9,Crime,1994,2h 34m,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","John Travolta,Uma Thurman,Samuel L. Jackson",United States
The Godfather Part II,9.0,Crime,1974,3h 22m,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Al Pacino,Robert De Niro,Robert Duvall",United States
12 Angry Men,9.0,Crime,1957,1h 36m,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"Henry Fonda,Lee J. Cobb,Martin Balsam",United States
The Godfather,9.2,Crime,1972,2h 55m,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"Marlon Brando,Al Pacino,James Caan",United States
Schindler's List,9.0,Biography,1993,3h 15m,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Liam Neeson,Ralph Fiennes,Ben Kingsley",United States
